Model,R2,MAE,RMSE,Training_Time_Seconds,Prediction_Time_Seconds
GradientBoosting,0.9685975880105882,22506.748778123954,52855.53534782911,1.8967441999120638,0.008163199992850423
RandomForest,0.9656821389271413,17009.087811015415,55254.68129546494,1.0900399000383914,0.05361810000613332
XGBoost,0.9273957900185559,20725.073941002982,80369.24239882291,0.2993537000147626,0.040614199941046536
